City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,Malakal,9.5334,31.6605,80.74,82,62,1.88,SS,2022-08-29 15:16:23
122,Chichimila,20.6167,-88.2167,82.45,61,30,4.76,MX,2022-08-29 15:11:38
123,Mana,5.6592,-53.7767,87.15,60,75,6.35,GF,2022-08-29 15:16:23
124,Castro,-24.7911,-50.0119,54.0,65,99,10.18,BR,2022-08-29 15:16:24
125,Alpena,45.0617,-83.4327,79.11,90,100,11.5,US,2022-08-29 15:16:24
126,Chokurdakh,70.6333,147.9167,35.49,95,37,8.86,RU,2022-08-29 15:16:25
127,Cerro Gordo,43.0833,-93.2669,73.02,72,0,10.36,US,2022-08-29 15:16:25
128,Vestmannaeyjar,63.4427,-20.2734,52.79,93,100,28.77,IS,2022-08-29 15:16:25
129,Waitati,-45.75,170.5667,42.8,89,0,3.6,NZ,2022-08-29 15:16:25
130,Severo-Kurilsk,50.6789,156.125,52.9,95,93,13.06,RU,2022-08-29 15:16:26
131,Upernavik,72.7868,-56.1549,37.13,82,24,19.62,GL,2022-08-29 15:16:26
132,Maridi,4.9158,29.4742,74.8,82,89,2.53,SS,2022-08-29 15:16:26
133,Tiksi,71.6872,128.8694,42.01,92,84,6.02,RU,2022-08-29 15:16:27
134,Fort Nelson,58.8053,-122.7002,53.47,76,80,1.3,CA,2022-08-29 15:13:05
135,Henties Bay,-22.116,14.2845,57.79,74,0,11.65,NA,2022-08-29 15:16:27
136,Lishu,43.3047,124.3278,55.94,98,49,7.47,CN,2022-08-29 15:16:27
137,New Norfolk,-42.7826,147.0587,52.72,65,95,2.28,AU,2022-08-29 15:17:28
138,Acarau,-2.8856,-40.12,88.56,51,18,13.91,BR,2022-08-29 15:13:55
139,Dovolnoye,54.4958,79.6671,62.67,47,5,8.39,RU,2022-08-29 15:17:28
140,Iskateley,67.6803,53.1512,52.47,85,100,6.58,RU,2022-08-29 15:17:29
141,Flin Flon,54.7682,-101.865,60.64,67,75,16.11,CA,2022-08-29 15:17:29
142,Portland,45.5234,-122.6762,66.92,80,0,5.01,US,2022-08-29 15:13:31
143,Kieta,-6.2167,155.6333,77.86,86,100,6.85,PG,2022-08-29 15:17:29
144,Port Elizabeth,-33.918,25.5701,55.69,83,100,13.8,ZA,2022-08-29 15:17:29
145,Mikkeli,61.6886,27.2723,60.91,67,40,5.75,FI,2022-08-29 15:17:30
146,Ruteng,-8.6136,120.4721,62.11,94,58,1.88,ID,2022-08-29 15:17:30
147,Norman Wells,65.282,-126.8329,51.84,100,100,2.3,CA,2022-08-29 15:17:30
148,Ostrovnoy,68.0531,39.5131,49.35,73,85,25.52,RU,2022-08-29 15:17:31
149,Markova,48.6758,24.4138,74.05,64,100,6.98,UA,2022-08-29 15:17:31
150,Vostok,46.4856,135.8833,51.75,96,100,3.2,RU,2022-08-29 15:17:31
151,Souillac,-20.5167,57.5167,71.98,83,40,0.0,MU,2022-08-29 15:17:32
152,Longyearbyen,78.2186,15.6401,40.84,60,75,5.75,SJ,2022-08-29 15:17:32
153,Saldanha,-33.0117,17.9442,60.21,57,2,25.72,ZA,2022-08-29 15:17:32
154,Basoko,1.2391,23.616,81.46,69,94,4.18,CD,2022-08-29 15:17:33
155,Springbok,-29.6643,17.8865,64.87,18,0,18.61,ZA,2022-08-29 15:17:33
156,Saskylakh,71.9167,114.0833,47.17,89,99,12.3,RU,2022-08-29 15:17:33
157,Kruisfontein,-34.0033,24.7314,51.89,70,100,18.54,ZA,2022-08-29 15:17:34
158,Asau,46.4333,26.4,85.28,30,85,4.72,RO,2022-08-29 15:17:34
159,Hamilton,39.1834,-84.5333,85.44,74,40,12.66,US,2022-08-29 15:17:34
160,Chumikan,54.7183,135.315,54.97,78,21,8.12,RU,2022-08-29 15:17:35
161,Mar Del Plata,-38.0023,-57.5575,55.42,38,0,16.11,AR,2022-08-29 15:17:35
162,Mahebourg,-20.4081,57.7,71.89,83,40,0.0,MU,2022-08-29 15:17:35
163,Saint-Philippe,-21.3585,55.7679,72.99,84,70,6.85,RE,2022-08-29 15:17:36
164,Nikolskoye,59.7035,30.7861,68.88,66,29,9.89,RU,2022-08-29 15:17:36
165,Buraydah,26.326,43.975,102.65,7,1,9.62,SA,2022-08-29 15:17:36
166,Slave Lake,55.2834,-114.769,55.38,82,100,0.0,CA,2022-08-29 15:15:11
167,Santa Isabel Do Rio Negro,-0.4139,-65.0192,80.44,76,92,2.01,BR,2022-08-29 15:17:36
168,Hovd,48.0056,91.6419,57.96,41,4,1.79,MN,2022-08-29 15:17:37
169,Razdolinsk,58.4211,94.6658,37.83,75,7,11.5,RU,2022-08-29 15:17:37
170,Yar-Sale,66.8333,70.8333,45.16,96,100,11.32,RU,2022-08-29 15:17:37
171,Veraval,20.9,70.3667,79.88,80,100,7.65,IN,2022-08-29 15:15:00
172,Tevriz,57.509,72.4042,65.03,76,18,5.53,RU,2022-08-29 15:17:38
173,Emerald,-23.5333,148.1667,62.74,100,100,8.05,AU,2022-08-29 15:17:38
174,Chiredzi,-21.05,31.6667,85.68,14,0,6.91,ZW,2022-08-29 15:17:38
175,Porto Nacional,-10.7081,-48.4172,96.8,16,5,7.16,BR,2022-08-29 15:17:39
176,Haines Junction,60.7522,-137.5108,44.55,93,100,1.14,CA,2022-08-29 15:17:39
177,Sandy Point,-38.8167,146.1,52.05,96,99,6.76,AU,2022-08-29 15:17:39
178,Boguchany,58.3814,97.4531,41.61,73,68,15.28,RU,2022-08-29 15:17:40
179,Salalah,17.0151,54.0924,77.09,94,75,9.22,OM,2022-08-29 15:17:40
180,Palauig,15.435,119.9045,81.57,80,100,3.96,PH,2022-08-29 15:17:40
181,Isangel,-19.55,169.2667,72.01,80,99,15.73,VU,2022-08-29 15:17:40
182,Hilo,19.7297,-155.09,77.29,73,0,8.05,US,2022-08-29 15:17:41
183,Mount Gambier,-37.8333,140.7667,49.91,93,100,11.5,AU,2022-08-29 15:17:41
184,Tomohon,1.3346,124.8392,68.94,90,100,2.53,ID,2022-08-29 15:17:41
185,Hobart,-42.8794,147.3294,53.06,84,100,5.75,AU,2022-08-29 15:15:05
186,Pueblo,38.2545,-104.6091,83.44,26,0,11.5,US,2022-08-29 15:18:42
