City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Sydney,AU,-33.8679,151.2073,58.3,91,0,6.91,clear sky
165,Port Hedland,AU,-20.3167,118.5667,71.65,64,100,6.91,overcast clouds
166,Molteno,ZA,-31.3968,26.3625,56.55,57,88,10.45,overcast clouds
167,Nivala,FI,63.9167,24.9667,44.69,58,49,6.55,scattered clouds
168,Rabak,SD,13.1809,32.74,80.01,69,100,11.05,overcast clouds
169,Pearl River,US,41.059,-74.0218,85.6,38,10,4.0,clear sky
170,Urumqi,CN,43.801,87.6005,72.55,27,0,11.18,clear sky
171,Airai,TL,-8.9266,125.4092,58.12,90,22,3.06,few clouds
172,Severo-Kurilsk,RU,50.6789,156.125,54.25,77,100,8.55,overcast clouds
173,Hualmay,PE,-11.0964,-77.6139,65.75,66,27,12.17,scattered clouds
174,Klaksvik,FO,62.2266,-6.589,52.72,95,100,16.24,overcast clouds
175,Labuhan,ID,-6.8844,112.2051,79.23,81,10,7.49,clear sky
176,Victoria,HK,22.2855,114.1577,85.32,73,97,1.99,overcast clouds
177,Half Moon Bay,US,37.4636,-122.4286,84.81,71,100,12.66,overcast clouds
178,Lebu,CL,-37.6167,-73.65,52.59,75,0,14.23,clear sky
179,Tongren,CN,27.7172,109.1853,71.4,70,93,3.0,overcast clouds
180,Broken Hill,AU,-31.95,141.4333,48.47,63,53,9.93,broken clouds
181,Asosa,ET,10.0667,34.5333,60.6,94,95,1.16,overcast clouds
182,Narsaq,GL,60.9167,-46.05,52.02,36,100,2.93,overcast clouds
183,Mersing,MY,2.4312,103.8405,78.71,89,40,4.61,scattered clouds
184,Atar,MR,20.5169,-13.0499,97.36,34,26,9.35,scattered clouds
185,Raudeberg,NO,61.9875,5.1352,57.87,40,14,2.08,few clouds
186,Chhindwara,IN,22.0667,78.9333,75.09,89,83,3.27,broken clouds
187,Madera,US,37.1666,-119.8343,103.98,20,0,3.0,clear sky
188,Jatiroto,ID,-7.8833,111.1167,73.69,90,23,2.19,few clouds
189,Elizabeth City,US,36.2946,-76.2511,87.04,62,75,4.61,broken clouds
190,Campo Grande,BR,-20.4428,-54.6464,92.75,22,0,13.8,clear sky
191,Toora-Khem,RU,52.4675,96.11,49.73,85,53,2.19,broken clouds
192,Haimen,CN,23.1935,116.6142,78.69,88,93,7.54,overcast clouds
193,Voznesenskaya,RU,44.5527,41.0318,80.33,39,37,6.8,scattered clouds
